	Gene name	Gene	Tissue	Cell type	Level	Reliability
149	AURKA	ENSG00000087586	soft tissue 2	fibroblasts	Not detected	Enhanced
150	AURKA	ENSG00000087586	soft tissue 2	peripheral nerve	Not detected	Enhanced
151	AURKA	ENSG00000087586	spleen	cells in red pulp	Not detected	Enhanced
152	AURKA	ENSG00000087586	spleen	cells in white pulp	Not detected	Enhanced
153	AURKA	ENSG00000087586	stomach 1	glandular cells	Low	Enhanced
154	AURKA	ENSG00000087586	stomach 2	glandular cells	Not detected	Enhanced
155	AURKA	ENSG00000087586	testis	elongated or late spermatids	Not detected	Enhanced
156	AURKA	ENSG00000087586	testis	Leydig cells	Not detected	Enhanced
157	AURKA	ENSG00000087586	testis	pachytene spermatocytes	Medium	Enhanced
158	AURKA	ENSG00000087586	testis	peritubular cells	Not detected	Enhanced
159	AURKA	ENSG00000087586	testis	preleptotene spermatocytes	Not detected	Enhanced
160	AURKA	ENSG00000087586	testis	round or early spermatids	Not detected	Enhanced
161	AURKA	ENSG00000087586	testis	sertoli cells	Not detected	Enhanced
162	AURKA	ENSG00000087586	testis	spermatogonia cells	Low	Enhanced
163	AURKA	ENSG00000087586	thyroid gland	glandular cells	Not detected	Enhanced
164	AURKA	ENSG00000087586	tonsil	germinal center cells	Medium	Enhanced
165	AURKA	ENSG00000087586	tonsil	non-germinal center cells	Low	Enhanced
166	AURKA	ENSG00000087586	urinary bladder	urothelial cells	Low	Enhanced
167	AURKA	ENSG00000087586	vagina	squamous epithelial cells	Low	Enhanced
168	HNRNPA2B1	ENSG00000122566	adipose tissue	adipocytes	High	Supported
169	HNRNPA2B1	ENSG00000122566	adrenal gland	glandular cells	High	Supported
170	HNRNPA2B1	ENSG00000122566	appendix	glandular cells	High	Supported
171	HNRNPA2B1	ENSG00000122566	appendix	lymphoid tissue	Medium	Supported
172	HNRNPA2B1	ENSG00000122566	bone marrow	hematopoietic cells	High	Supported
173	HNRNPA2B1	ENSG00000122566	breast	adipocytes	High	Supported
174	HNRNPA2B1	ENSG00000122566	breast	glandular cells	High	Supported
175	HNRNPA2B1	ENSG00000122566	breast	myoepithelial cells	High	Supported
176	HNRNPA2B1	ENSG00000122566	bronchus	respiratory epithelial cells	High	Supported
177	HNRNPA2B1	ENSG00000122566	caudate	glial cells	High	Supported
178	HNRNPA2B1	ENSG00000122566	caudate	neuronal cells	High	Supported
179	HNRNPA2B1	ENSG00000122566	cerebellum	cells in granular layer	Medium	Supported
180	HNRNPA2B1	ENSG00000122566	cerebellum	cells in molecular layer	High	Supported
181	HNRNPA2B1	ENSG00000122566	cerebellum	Purkinje cells	Medium	Supported
182	HNRNPA2B1	ENSG00000122566	cerebral cortex	endothelial cells	Medium	Supported
183	HNRNPA2B1	ENSG00000122566	cerebral cortex	glial cells	Medium	Supported
184	HNRNPA2B1	ENSG00000122566	cerebral cortex	neuronal cells	High	Supported
185	HNRNPA2B1	ENSG00000122566	cerebral cortex	neuropil	Not detected	Supported
186	HNRNPA2B1	ENSG00000122566	cervix, uterine	glandular cells	High	Supported
187	HNRNPA2B1	ENSG00000122566	cervix, uterine	squamous epithelial cells	High	Supported
188	HNRNPA2B1	ENSG00000122566	colon	endothelial cells	Medium	Supported
189	HNRNPA2B1	ENSG00000122566	colon	glandular cells	High	Supported
190	HNRNPA2B1	ENSG00000122566	colon	peripheral nerve/ganglion	High	Supported
191	HNRNPA2B1	ENSG00000122566	duodenum	glandular cells	High	Supported
192	HNRNPA2B1	ENSG00000122566	endometrium 1	cells in endometrial stroma	High	Supported
193	HNRNPA2B1	ENSG00000122566	endometrium 1	glandular cells	Medium	Supported
194	HNRNPA2B1	ENSG00000122566	endometrium 2	cells in endometrial stroma	High	Supported
195	HNRNPA2B1	ENSG00000122566	endometrium 2	glandular cells	High	Supported
196	HNRNPA2B1	ENSG00000122566	epididymis	glandular cells	High	Supported
197	HNRNPA2B1	ENSG00000122566	esophagus	squamous epithelial cells	High	Supported
198	HNRNPA2B1	ENSG00000122566	fallopian tube	glandular cells	High	Supported
199	HNRNPA2B1	ENSG00000122566	gallbladder	glandular cells	High	Supported
200	HNRNPA2B1	ENSG00000122566	heart muscle	cardiomyocytes	High	Supported
201	HNRNPA2B1	ENSG00000122566	hippocampus	glial cells	High	Supported
202	HNRNPA2B1	ENSG00000122566	hippocampus	neuronal cells	High	Supported
203	HNRNPA2B1	ENSG00000122566	kidney	cells in glomeruli	High	Supported
204	HNRNPA2B1	ENSG00000122566	kidney	cells in tubules	High	Supported
205	HNRNPA2B1	ENSG00000122566	liver	cholangiocytes	High	Supported
206	HNRNPA2B1	ENSG00000122566	liver	hepatocytes	Medium	Supported
207	HNRNPA2B1	ENSG00000122566	lung	alveolar cells	High	Supported
208	HNRNPA2B1	ENSG00000122566	lung	macrophages	High	Supported
209	HNRNPA2B1	ENSG00000122566	lymph node	germinal center cells	Medium	Supported
210	HNRNPA2B1	ENSG00000122566	lymph node	non-germinal center cells	High	Supported
211	HNRNPA2B1	ENSG00000122566	nasopharynx	respiratory epithelial cells	High	Supported
212	HNRNPA2B1	ENSG00000122566	oral mucosa	squamous epithelial cells	High	Supported
213	HNRNPA2B1	ENSG00000122566	ovary	ovarian stroma cells	Medium	Supported
214	HNRNPA2B1	ENSG00000122566	pancreas	exocrine glandular cells	High	Supported
215	HNRNPA2B1	ENSG00000122566	pancreas	pancreatic endocrine cells	High	Supported
216	HNRNPA2B1	ENSG00000122566	parathyroid gland	glandular cells	High	Supported
217	HNRNPA2B1	ENSG00000122566	placenta	trophoblastic cells	High	Supported
218	HNRNPA2B1	ENSG00000122566	prostate	glandular cells	High	Supported
219	HNRNPA2B1	ENSG00000122566	rectum	glandular cells	High	Supported
220	HNRNPA2B1	ENSG00000122566	salivary gland	glandular cells	High	Supported
221	HNRNPA2B1	ENSG00000122566	seminal vesicle	glandular cells	High	Supported
222	HNRNPA2B1	ENSG00000122566	skeletal muscle	myocytes	High	Supported
223	HNRNPA2B1	ENSG00000122566	skin 1	fibroblasts	High	Supported
224	HNRNPA2B1	ENSG00000122566	skin 1	keratinocytes	High	Supported
225	HNRNPA2B1	ENSG00000122566	skin 1	Langerhans	High	Supported
226	HNRNPA2B1	ENSG00000122566	skin 1	melanocytes	High	Supported
227	HNRNPA2B1	ENSG00000122566	skin 2	epidermal cells	High	Supported
228	HNRNPA2B1	ENSG00000122566	small intestine	glandular cells	High	Supported
229	HNRNPA2B1	ENSG00000122566	smooth muscle	smooth muscle cells	High	Supported
230	HNRNPA2B1	ENSG00000122566	soft tissue 1	fibroblasts	High	Supported
231	HNRNPA2B1	ENSG00000122566	soft tissue 1	peripheral nerve	Medium	Supported
232	HNRNPA2B1	ENSG00000122566	soft tissue 2	fibroblasts	High	Supported
233	HNRNPA2B1	ENSG00000122566	soft tissue 2	peripheral nerve	High	Supported
234	HNRNPA2B1	ENSG00000122566	spleen	cells in red pulp	High	Supported
235	HNRNPA2B1	ENSG00000122566	spleen	cells in white pulp	Medium	Supported
236	HNRNPA2B1	ENSG00000122566	stomach 1	glandular cells	High	Supported
237	HNRNPA2B1	ENSG00000122566	stomach 2	glandular cells	High	Supported
238	HNRNPA2B1	ENSG00000122566	testis	elongated or late spermatids	Not detected	Supported
239	HNRNPA2B1	ENSG00000122566	testis	Leydig cells	Medium	Supported
240	HNRNPA2B1	ENSG00000122566	testis	pachytene spermatocytes	High	Supported
241	HNRNPA2B1	ENSG00000122566	testis	peritubular cells	Low	Supported
242	HNRNPA2B1	ENSG00000122566	testis	preleptotene spermatocytes	High	Supported
243	HNRNPA2B1	ENSG00000122566	testis	round or early spermatids	High	Supported
244	HNRNPA2B1	ENSG00000122566	testis	sertoli cells	Low	Supported
245	HNRNPA2B1	ENSG00000122566	testis	spermatogonia cells	High	Supported
246	HNRNPA2B1	ENSG00000122566	thyroid gland	glandular cells	High	Supported
247	HNRNPA2B1	ENSG00000122566	tonsil	germinal center cells	Medium	Supported
248	HNRNPA2B1	ENSG00000122566	tonsil	non-germinal center cells	Medium	Supported
249	HNRNPA2B1	ENSG00000122566	tonsil	squamous epithelial cells	High	Supported
250	HNRNPA2B1	ENSG00000122566	urinary bladder	urothelial cells	High	Supported
251	HNRNPA2B1	ENSG00000122566	vagina	squamous epithelial cells	High	Supported
252	ADRB2	ENSG00000169252				Uncertain
253	UXT	ENSG00000126756	adipose tissue	adipocytes	Low	Approved
254	UXT	ENSG00000126756	adrenal gland	glandular cells	High	Approved
255	UXT	ENSG00000126756	appendix	glandular cells	High	Approved
256	UXT	ENSG00000126756	appendix	lymphoid tissue	High	Approved
257	UXT	ENSG00000126756	bone marrow	hematopoietic cells	High	Approved
258	UXT	ENSG00000126756	breast	adipocytes	Not detected	Approved
259	UXT	ENSG00000126756	breast	glandular cells	High	Approved
260	UXT	ENSG00000126756	breast	myoepithelial cells	Medium	Approved
261	UXT	ENSG00000126756	bronchus	respiratory epithelial cells	High	Approved
262	UXT	ENSG00000126756	caudate	glial cells	Low	Approved
263	UXT	ENSG00000126756	caudate	neuronal cells	Low	Approved
264	UXT	ENSG00000126756	cerebellum	cells in granular layer	Not detected	Approved
265	UXT	ENSG00000126756	cerebellum	cells in molecular layer	Low	Approved
266	UXT	ENSG00000126756	cerebellum	Purkinje cells	Medium	Approved
267	UXT	ENSG00000126756	cerebral cortex	endothelial cells	Medium	Approved
268	UXT	ENSG00000126756	cerebral cortex	glial cells	Medium	Approved
269	UXT	ENSG00000126756	cerebral cortex	neuronal cells	Low	Approved
270	UXT	ENSG00000126756	cerebral cortex	neuropil	Low	Approved
271	UXT	ENSG00000126756	cervix, uterine	glandular cells	Medium	Approved
272	UXT	ENSG00000126756	cervix, uterine	squamous epithelial cells	High	Approved
273	UXT	ENSG00000126756	colon	endothelial cells	Medium	Approved
274	UXT	ENSG00000126756	colon	glandular cells	High	Approved
275	UXT	ENSG00000126756	colon	peripheral nerve/ganglion	Medium	Approved
276	UXT	ENSG00000126756	duodenum	glandular cells	High	Approved
277	UXT	ENSG00000126756	endometrium 1	cells in endometrial stroma	Not detected	Approved
278	UXT	ENSG00000126756	endometrium 1	glandular cells	Low	Approved
279	UXT	ENSG00000126756	endometrium 2	cells in endometrial stroma	Medium	Approved
280	UXT	ENSG00000126756	endometrium 2	glandular cells	Medium	Approved
281	UXT	ENSG00000126756	epididymis	glandular cells	Low	Approved
282	UXT	ENSG00000126756	esophagus	squamous epithelial cells	High	Approved
283	UXT	ENSG00000126756	fallopian tube	glandular cells	Medium	Approved
284	UXT	ENSG00000126756	gallbladder	glandular cells	Medium	Approved
285	UXT	ENSG00000126756	heart muscle	cardiomyocytes	Medium	Approved
286	UXT	ENSG00000126756	hippocampus	glial cells	Low	Approved
287	UXT	ENSG00000126756	hippocampus	neuronal cells	Low	Approved
288	UXT	ENSG00000126756	kidney	cells in glomeruli	Medium	Approved
289	UXT	ENSG00000126756	kidney	cells in tubules	Medium	Approved
290	UXT	ENSG00000126756	liver	cholangiocytes	Medium	Approved
291	UXT	ENSG00000126756	liver	hepatocytes	Medium	Approved
292	UXT	ENSG00000126756	lung	alveolar cells	Medium	Approved
293	UXT	ENSG00000126756	lung	macrophages	Medium	Approved
294	UXT	ENSG00000126756	lymph node	germinal center cells	High	Approved
295	UXT	ENSG00000126756	lymph node	non-germinal center cells	High	Approved
296	UXT	ENSG00000126756	nasopharynx	respiratory epithelial cells	High	Approved
297	UXT	ENSG00000126756	oral mucosa	squamous epithelial cells	High	Approved
298	UXT	ENSG00000126756	ovary	follicle cells	Medium	Approved
299	UXT	ENSG00000126756	ovary	ovarian stroma cells	Medium	Approved
300	UXT	ENSG00000126756	pancreas	exocrine glandular cells	Medium	Approved
301	UXT	ENSG00000126756	pancreas	pancreatic endocrine cells	Not detected	Approved
302	UXT	ENSG00000126756	placenta	trophoblastic cells	High	Approved
303	UXT	ENSG00000126756	prostate	glandular cells	Medium	Approved
304	UXT	ENSG00000126756	rectum	glandular cells	High	Approved
305	UXT	ENSG00000126756	salivary gland	glandular cells	Medium	Approved
306	UXT	ENSG00000126756	seminal vesicle	glandular cells	Medium	Approved
307	UXT	ENSG00000126756	skeletal muscle	myocytes	Medium	Approved
308	UXT	ENSG00000126756	skin 1	fibroblasts	High	Approved
309	UXT	ENSG00000126756	skin 1	keratinocytes	High	Approved
310	UXT	ENSG00000126756	skin 1	Langerhans	High	Approved
311	UXT	ENSG00000126756	skin 1	melanocytes	High	Approved
312	UXT	ENSG00000126756	skin 2	epidermal cells	High	Approved
313	UXT	ENSG00000126756	small intestine	glandular cells	High	Approved
314	UXT	ENSG00000126756	smooth muscle	smooth muscle cells	Medium	Approved
315	UXT	ENSG00000126756	soft tissue 1	chondrocytes	Medium	Approved
316	UXT	ENSG00000126756	soft tissue 1	fibroblasts	High	Approved
317	UXT	ENSG00000126756	soft tissue 1	peripheral nerve	Not detected	Approved
318	UXT	ENSG00000126756	soft tissue 2	fibroblasts	Medium	Approved
319	UXT	ENSG00000126756	soft tissue 2	peripheral nerve	Low	Approved
320	UXT	ENSG00000126756	spleen	cells in red pulp	High	Approved
321	UXT	ENSG00000126756	spleen	cells in white pulp	High	Approved
322	UXT	ENSG00000126756	stomach 1	glandular cells	Low	Approved
323	UXT	ENSG00000126756	stomach 2	glandular cells	High	Approved
324	UXT	ENSG00000126756	testis	elongated or late spermatids	Not detected	Approved
325	UXT	ENSG00000126756	testis	Leydig cells	Medium	Approved
326	UXT	ENSG00000126756	testis	pachytene spermatocytes	Not detected	Approved
327	UXT	ENSG00000126756	testis	peritubular cells	Medium	Approved
328	UXT	ENSG00000126756	testis	preleptotene spermatocytes	Not detected	Approved
329	UXT	ENSG00000126756	testis	round or early spermatids	Not detected	Approved
330	UXT	ENSG00000126756	testis	sertoli cells	Low	Approved
331	UXT	ENSG00000126756	testis	spermatogonia cells	Medium	Approved
332	UXT	ENSG00000126756	thyroid gland	glandular cells	Medium	Approved
333	UXT	ENSG00000126756	tonsil	germinal center cells	High	Approved
334	UXT	ENSG00000126756	tonsil	non-germinal center cells	High	Approved
335	UXT	ENSG00000126756	tonsil	squamous epithelial cells	High	Approved
336	UXT	ENSG00000126756	urinary bladder	urothelial cells	High	Approved
337	UXT	ENSG00000126756	vagina	squamous epithelial cells	High	Approved
338	HNRNPD	ENSG00000138668	adipose tissue	adipocytes	Low	Supported
339	HNRNPD	ENSG00000138668	adrenal gland	glandular cells	High	Supported
340	HNRNPD	ENSG00000138668	appendix	glandular cells	High	Supported
341	HNRNPD	ENSG00000138668	appendix	lymphoid tissue	High	Supported
342	HNRNPD	ENSG00000138668	bone marrow	hematopoietic cells	High	Supported
343	HNRNPD	ENSG00000138668	breast	adipocytes	Not detected	Supported
344	HNRNPD	ENSG00000138668	breast	glandular cells	Medium	Supported
345	HNRNPD	ENSG00000138668	breast	myoepithelial cells	Not detected	Supported
346	HNRNPD	ENSG00000138668	bronchus	respiratory epithelial cells	Medium	Supported
347	HNRNPD	ENSG00000138668	caudate	glial cells	High	Supported
348	HNRNPD	ENSG00000138668	caudate	neuronal cells	High	Supported
349	HNRNPD	ENSG00000138668	cerebellum	cells in granular layer	High	Supported
350	HNRNPD	ENSG00000138668	cerebellum	cells in molecular layer	High	Supported
351	HNRNPD	ENSG00000138668	cerebellum	Purkinje cells	Medium	Supported
352	HNRNPD	ENSG00000138668	cerebral cortex	endothelial cells	Not detected	Supported
353	HNRNPD	ENSG00000138668	cerebral cortex	glial cells	High	Supported
354	HNRNPD	ENSG00000138668	cerebral cortex	neuronal cells	High	Supported
355	HNRNPD	ENSG00000138668	cerebral cortex	neuropil	Not detected	Supported
356	HNRNPD	ENSG00000138668	cervix, uterine	glandular cells	High	Supported
357	HNRNPD	ENSG00000138668	cervix, uterine	squamous epithelial cells	High	Supported
358	HNRNPD	ENSG00000138668	colon	endothelial cells	Not detected	Supported
359	HNRNPD	ENSG00000138668	colon	glandular cells	High	Supported
360	HNRNPD	ENSG00000138668	colon	peripheral nerve/ganglion	Medium	Supported
