	Gene name	Gene	Cancer	High	Medium	Low	Not detected	prognostic - favorable	unprognostic - favorable	prognostic - unfavorable	unprognostic - unfavorable
211	HIF3A	ENSG00000124440	ovarian cancer	3.0	9.0	0.0	0.0				0.01381
212	HIF3A	ENSG00000124440	pancreatic cancer	1.0	10.0	0.0	1.0				0.03765
213	HIF3A	ENSG00000124440	prostate cancer	0.0	12.0	0.0	0.0		0.07072		
214	HIF3A	ENSG00000124440	renal cancer	0.0	9.0	3.0	0.0				0.0003409
215	HIF3A	ENSG00000124440	skin cancer	2.0	8.0	0.0	0.0				
216	HIF3A	ENSG00000124440	stomach cancer	0.0	5.0	3.0	1.0				0.01546
217	HIF3A	ENSG00000124440	testis cancer	9.0	2.0	0.0	0.0				0.1607
218	HIF3A	ENSG00000124440	thyroid cancer	0.0	4.0	0.0	0.0				0.0004451
219	HIF3A	ENSG00000124440	urothelial cancer	1.0	9.0	1.0	0.0				0.05978
220	KAT2B	ENSG00000114166	breast cancer	0.0	0.0	10.0	2.0				0.02908
221	KAT2B	ENSG00000114166	carcinoid	1.0	0.0	2.0	1.0				
222	KAT2B	ENSG00000114166	cervical cancer	0.0	1.0	1.0	10.0		0.006847		
223	KAT2B	ENSG00000114166	colorectal cancer	0.0	1.0	7.0	4.0		0.09053		
224	KAT2B	ENSG00000114166	endometrial cancer	0.0	0.0	2.0	9.0		0.2246		
225	KAT2B	ENSG00000114166	glioma	3.0	7.0	2.0	0.0		0.02659		
226	KAT2B	ENSG00000114166	head and neck cancer	0.0	0.0	0.0	4.0		0.003011		
227	KAT2B	ENSG00000114166	liver cancer	0.0	1.0	3.0	8.0		0.2437		
228	KAT2B	ENSG00000114166	lung cancer	0.0	1.0	3.0	8.0		0.003827		
229	KAT2B	ENSG00000114166	lymphoma	1.0	5.0	4.0	2.0				
230	KAT2B	ENSG00000114166	melanoma	4.0	5.0	1.0	2.0		0.02442		
231	KAT2B	ENSG00000114166	ovarian cancer	0.0	0.0	9.0	3.0		0.1027		
232	KAT2B	ENSG00000114166	pancreatic cancer	0.0	1.0	1.0	10.0		0.005232		
233	KAT2B	ENSG00000114166	prostate cancer	0.0	5.0	6.0	1.0				0.07134
234	KAT2B	ENSG00000114166	renal cancer	0.0	1.0	4.0	7.0		0.07031		
235	KAT2B	ENSG00000114166	skin cancer	0.0	2.0	4.0	6.0				
236	KAT2B	ENSG00000114166	stomach cancer	0.0	0.0	1.0	11.0				0.02262
237	KAT2B	ENSG00000114166	testis cancer	0.0	0.0	0.0	12.0				0.1586
238	KAT2B	ENSG00000114166	thyroid cancer	3.0	0.0	0.0	1.0				0.05163
239	KAT2B	ENSG00000114166	urothelial cancer	0.0	2.0	2.0	8.0		0.04632		
240	SKP2	ENSG00000145604	breast cancer	0.0	0.0	4.0	7.0				0.0232
241	SKP2	ENSG00000145604	carcinoid	0.0	0.0	0.0	4.0				
242	SKP2	ENSG00000145604	cervical cancer	1.0	4.0	3.0	2.0				0.2868
243	SKP2	ENSG00000145604	colorectal cancer	1.0	2.0	3.0	1.0		0.1263		
244	SKP2	ENSG00000145604	endometrial cancer	0.0	0.0	4.0	7.0				0.05736
245	SKP2	ENSG00000145604	glioma	0.0	0.0	3.0	9.0		0.09559		
246	SKP2	ENSG00000145604	head and neck cancer	2.0	1.0	0.0	1.0		0.01519		
247	SKP2	ENSG00000145604	liver cancer	0.0	0.0	0.0	11.0				0.001208
248	SKP2	ENSG00000145604	lung cancer	1.0	4.0	3.0	4.0				0.2219
249	SKP2	ENSG00000145604	lymphoma	0.0	1.0	1.0	10.0				
250	SKP2	ENSG00000145604	melanoma	0.0	3.0	3.0	6.0			3.723e-07	
251	SKP2	ENSG00000145604	ovarian cancer	0.0	2.0	7.0	3.0	0.0008575			
252	SKP2	ENSG00000145604	pancreatic cancer	0.0	1.0	5.0	4.0				0.05057
253	SKP2	ENSG00000145604	prostate cancer	0.0	0.0	1.0	9.0				0.271
254	SKP2	ENSG00000145604	renal cancer	0.0	0.0	3.0	9.0			4.774e-15	
255	SKP2	ENSG00000145604	skin cancer	0.0	5.0	7.0	0.0				
256	SKP2	ENSG00000145604	stomach cancer	2.0	3.0	4.0	2.0		0.02497		
257	SKP2	ENSG00000145604	testis cancer	0.0	4.0	4.0	4.0		0.3728		
258	SKP2	ENSG00000145604	thyroid cancer	0.0	0.0	0.0	4.0				0.1628
259	SKP2	ENSG00000145604	urothelial cancer	0.0	2.0	7.0	3.0		0.2189		
260	PIAS4	ENSG00000105229	breast cancer	0.0	0.0	8.0	4.0				0.1226
261	PIAS4	ENSG00000105229	carcinoid	0.0	0.0	2.0	2.0				
262	PIAS4	ENSG00000105229	cervical cancer	0.0	0.0	1.0	11.0		0.008945		
263	PIAS4	ENSG00000105229	colorectal cancer	0.0	0.0	5.0	6.0				0.03501
264	PIAS4	ENSG00000105229	endometrial cancer	0.0	0.0	3.0	7.0	1.178e-05			
265	PIAS4	ENSG00000105229	glioma	0.0	0.0	5.0	7.0				0.2454
266	PIAS4	ENSG00000105229	head and neck cancer	0.0	0.0	3.0	1.0		0.004773		
267	PIAS4	ENSG00000105229	liver cancer	0.0	0.0	5.0	6.0				0.004006
268	PIAS4	ENSG00000105229	lung cancer	0.0	0.0	2.0	8.0		0.09791		
269	PIAS4	ENSG00000105229	lymphoma	0.0	0.0	1.0	11.0				
270	PIAS4	ENSG00000105229	melanoma	0.0	1.0	2.0	9.0				0.06886
271	PIAS4	ENSG00000105229	ovarian cancer	0.0	0.0	8.0	4.0		0.06221		
272	PIAS4	ENSG00000105229	pancreatic cancer	0.0	0.0	9.0	3.0	0.000704			
273	PIAS4	ENSG00000105229	prostate cancer	0.0	0.0	4.0	8.0				0.01328
274	PIAS4	ENSG00000105229	renal cancer	0.0	0.0	2.0	10.0		0.0598		
275	PIAS4	ENSG00000105229	skin cancer	0.0	0.0	2.0	8.0				
276	PIAS4	ENSG00000105229	stomach cancer	0.0	0.0	4.0	7.0		0.00452		
277	PIAS4	ENSG00000105229	testis cancer	0.0	0.0	4.0	6.0		0.05761		
278	PIAS4	ENSG00000105229	thyroid cancer	0.0	0.0	4.0	0.0		0.1255		
279	PIAS4	ENSG00000105229	urothelial cancer	0.0	0.0	6.0	6.0		0.004665		
280	RPS3A	ENSG00000145425	breast cancer	1.0	9.0	0.0	1.0		0.006241		
281	RPS3A	ENSG00000145425	carcinoid	0.0	1.0	3.0	0.0				
282	RPS3A	ENSG00000145425	cervical cancer	0.0	7.0	4.0	0.0		0.03453		
283	RPS3A	ENSG00000145425	colorectal cancer	1.0	11.0	0.0	0.0		0.1787		
284	RPS3A	ENSG00000145425	endometrial cancer	3.0	7.0	0.0	1.0		0.1159		
285	RPS3A	ENSG00000145425	glioma	0.0	4.0	1.0	3.0		0.01794		
286	RPS3A	ENSG00000145425	head and neck cancer	0.0	3.0	0.0	0.0				0.05461
287	RPS3A	ENSG00000145425	liver cancer	7.0	4.0	0.0	0.0			0.0006564	
288	RPS3A	ENSG00000145425	lung cancer	0.0	10.0	1.0	0.0		0.1172		
289	RPS3A	ENSG00000145425	lymphoma	1.0	5.0	3.0	2.0				
290	RPS3A	ENSG00000145425	melanoma	0.0	11.0	0.0	0.0				0.01158
291	RPS3A	ENSG00000145425	ovarian cancer	2.0	9.0	1.0	0.0				0.1009
292	RPS3A	ENSG00000145425	pancreatic cancer	1.0	10.0	0.0	0.0		0.06414		
293	RPS3A	ENSG00000145425	prostate cancer	0.0	7.0	5.0	0.0				0.1265
294	RPS3A	ENSG00000145425	renal cancer	1.0	5.0	5.0	1.0				0.006811
295	RPS3A	ENSG00000145425	skin cancer	0.0	8.0	1.0	0.0				
296	RPS3A	ENSG00000145425	stomach cancer	2.0	8.0	1.0	0.0				0.2364
297	RPS3A	ENSG00000145425	testis cancer	4.0	8.0	0.0	0.0		0.1961		
298	RPS3A	ENSG00000145425	thyroid cancer	0.0	3.0	1.0	0.0				0.1997
299	RPS3A	ENSG00000145425	urothelial cancer	2.0	10.0	0.0	0.0		0.3392		
300	DGKZ	ENSG00000149091	breast cancer	0.0	0.0	1.0	11.0		0.0285		
301	DGKZ	ENSG00000149091	carcinoid	0.0	0.0	1.0	3.0				
302	DGKZ	ENSG00000149091	cervical cancer	0.0	1.0	0.0	9.0		0.03896		
303	DGKZ	ENSG00000149091	colorectal cancer	0.0	0.0	0.0	10.0				0.2389
304	DGKZ	ENSG00000149091	endometrial cancer	0.0	0.0	0.0	12.0				0.1648
305	DGKZ	ENSG00000149091	glioma	0.0	2.0	0.0	9.0				0.1403
306	DGKZ	ENSG00000149091	head and neck cancer	1.0	0.0	2.0	1.0		0.04124		
307	DGKZ	ENSG00000149091	liver cancer	0.0	0.0	0.0	11.0				0.003082
308	DGKZ	ENSG00000149091	lung cancer	0.0	0.0	1.0	8.0				0.1306
309	DGKZ	ENSG00000149091	lymphoma	0.0	0.0	2.0	10.0				
310	DGKZ	ENSG00000149091	melanoma	0.0	1.0	0.0	11.0		0.01033		
